"","demand_date","peak_demand","TO","TE","Winter","start_year","Nov_date","DSN","DOW","DOW2","Xmas","Winter1","Winter2","Winter3","Winter4","Winter5","Winter6","Winter7","Winter8","Winter9","Winter10","Winter11","Winter12","Winter13","Winter14","Winter15","Winter16","Winter17","Winter18","Winter19","Winter20","Winter21","Winter22","Winter23","Winter24","Winter25","Winter26","TEW1","TEW2","TEW3","TEW4","TEW5","TEW6","TEW7","TEW8","TEW9","TEW10","TEW11","TEW12","TEW13","TEW14","TEW15","TEW16","TEW17","TEW18","TEW19","TEW20","TEW21","TEW22","TEW23","TEW24","TEW25","TEW26"
"1",1991-01-01,37177,8.03380006075,8.03380006075,"1990/91","1990",1990-11-01,61,"Tuesday",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03380006075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1991-01-02,46861,6.62414030275,7.32897018175,"1990/91","1990",1990-11-01,62,"Wednesday",4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32897018175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1991-01-03,48295.5,5.40394683825,6.36645851,"1990/91","1990",1990-11-01,63,"Thursday",5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36645851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1991-01-04,47227,3.42467712175,4.895567815875,"1990/91","1990",1990-11-01,64,"Friday",6,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.895567815875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1991-01-05,42109,4.940087321,4.9178275684375,"1990/91","1990",1990-11-01,65,"Saturday",7,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9178275684375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1991-01-06,39458.5,4.18736670825,4.55259713834375,"1990/91","1990",1990-11-01,66,"Sunday",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55259713834375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1991-01-07,50009.5,4.479536494,4.51606681617188,"1990/91","1990",1990-11-01,67,"Monday",2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51606681617188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1991-01-08,51292,6.51556774575,5.51581728096094,"1990/91","1990",1990-11-01,68,"Tuesday",3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51581728096094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1991-01-09,50370,5.64377074625,5.57979401360547,"1990/91","1990",1990-11-01,69,"Wednesday",4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57979401360547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1991-01-10,49350,3.95668177925,4.76823789642773,"1990/91","1990",1990-11-01,70,"Thursday",5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76823789642773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1991-01-11,48359,3.55781942175,4.16302865908887,"1990/91","1990",1990-11-01,71,"Friday",6,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16302865908887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1991-01-12,42236,1.700163526,2.93159609254443,"1990/91","1990",1990-11-01,72,"Saturday",7,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93159609254443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1991-01-13,40811,-0.33442276375,1.29858666439722,"1990/91","1990",1990-11-01,73,"Sunday",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29858666439722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1991-01-14,51481,0.24029074075,0.769438702573608,"1990/91","1990",1990-11-01,74,"Monday",2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769438702573608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1991-01-15,51503,-0.6256320595,0.0719033215368042,"1990/91","1990",1990-11-01,75,"Tuesday",3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719033215368042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1991-01-16,51110,0.939691811,0.505797566268402,"1990/91","1990",1990-11-01,76,"Wednesday",4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505797566268402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1991-01-17,49872.5,4.480321508,2.4930595371342,"1990/91","1990",1990-11-01,77,"Thursday",5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4930595371342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1991-01-18,48881.5,6.1576302685,4.3253449028171,"1990/91","1990",1990-11-01,78,"Friday",6,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3253449028171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1991-01-19,41747,3.3099113995,3.81762815115855,"1990/91","1990",1990-11-01,79,"Saturday",7,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81762815115855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1991-01-20,38778.5,7.279563665,5.54859590807928,"1990/91","1990",1990-11-01,80,"Sunday",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54859590807928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
